Last login: Thu Feb 20 14:12:20 on ttys000
maclab-103:~ hanse109$ ps
  PID TTY           TIME CMD
21897 ttys001    0:00.01 -bash
maclab-103:~ hanse109$ ps x
  PID   TT  STAT      TIME COMMAND
 4691   ??  S      0:00.27 /System/Library/Frameworks/LocalAuthentication.frame
 4692   ??  S      0:03.16 /usr/sbin/cfprefsd agent
 4715   ??  S      0:01.37 /usr/sbin/distnoted agent
 4719   ??  S      0:01.60 /usr/libexec/lsd
 4752   ??  S      0:00.31 /System/Library/PrivateFrameworks/IMDPersistence.fra
 4806   ??  S      0:02.64 /usr/libexec/pkd
 4871   ??  S      0:00.23 /System/Library/StagedFrameworks/Safari/SafariShared
 4880   ??  S      0:00.14 /System/Library/Frameworks/ApplicationServices.frame
 4926   ??  S      0:00.08 /System/Library/CoreServices/Menu Extras/SafeEjectGP
 4951   ??  S      0:00.15 /System/Library/PrivateFrameworks/CloudPhotoServices
 5060   ??  S      0:00.07 /System/Library/Frameworks/MediaAccessibility.framew
 5144   ??  S      0:00.13 /System/Library/Frameworks/CoreServices.framework/Ve
 5170   ??  S      0:00.13 /System/Library/PrivateFrameworks/ContextKit.framewo
 5803   ??  S      0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/
 5948   ??  S      0:01.90 /usr/libexec/secinitd
 6588   ??  S      0:00.58 /System/Library/Frameworks/ApplicationServices.frame
 6591   ??  Ss     0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XP
20623   ??  S      0:00.45 /usr/libexec/UserEventAgent (Aqua)
20627   ??  S      0:00.30 /usr/sbin/universalaccessd launchd -s
20629   ??  S      0:00.38 /System/Library/Frameworks/CoreTelephony.framework/S
20630   ??  S      0:01.80 /usr/libexec/trustd --agent
20631   ??  S      0:00.12 /usr/libexec/secd
20642   ??  S      0:00.16 /System/Library/PrivateFrameworks/TelephonyUtilities
20643   ??  S      0:02.36 /System/Library/PrivateFrameworks/CloudKitDaemon.fra
20645   ??  S      0:00.58 /System/Library/Frameworks/Accounts.framework/Versio
20646   ??  S      0:00.17 /System/Library/PrivateFrameworks/IDS.framework/iden
20647   ??  S      0:00.02 /System/Library/Frameworks/Security.framework/Versio
20653   ??  S      0:00.16 /System/Library/PrivateFrameworks/TCC.framework/Reso
20654   ??  S      0:00.15 /System/Library/PrivateFrameworks/IMCore.framework/i
20656   ??  S      0:00.31 /usr/libexec/nsurlsessiond
20663   ??  S      0:00.08 /System/Library/Frameworks/AddressBook.framework/Exe
20668   ??  S      0:00.06 /usr/libexec/rapportd
20669   ??  S      0:00.19 /usr/sbin/usernoted
20675   ??  S      0:00.62 /System/Library/CoreServices/NotificationCenter.app/
20676   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/IMFoundation.frame
20677   ??  S      0:00.14 /System/Library/PrivateFrameworks/MessagesKit.framew
20679   ??  S      0:01.15 /usr/libexec/nsurlstoraged
20680   ??  S      0:00.07 /usr/libexec/fmfd
20681   ??  S      0:00.05 /usr/libexec/pboard
20682   ??  S      0:00.09 /System/Library/PrivateFrameworks/UserActivity.frame
20683   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/IMFoundation.frame
20684   ??  S      0:00.32 /usr/libexec/sharingd
20685   ??  S      0:00.16 /System/Library/PrivateFrameworks/ViewBridge.framewo
20686   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/IMFoundation.frame
20688   ??  S      0:00.19 /System/Library/CoreServices/talagent
20689   ??  S      0:00.72 /System/Library/Frameworks/ApplicationServices.frame
20691   ??  S      0:00.35 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
20693   ??  S      0:00.04 /System/Library/PrivateFrameworks/FamilyCircle.frame
20695   ??  S      0:00.14 /System/Library/CoreServices/sharedfilelistd
20699   ??  S      0:00.17 /System/Library/CoreServices/CoreLocationAgent.app/C
20704   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/IMFoundation.frame
20710   ??  S      0:00.11 /System/Library/PrivateFrameworks/AuthKit.framework/
20713   ??  S      0:00.03 /usr/libexec/networkserviceproxy
20714   ??  S      0:00.52 /System/Library/PrivateFrameworks/CalendarAgent.fram
20715   ??  S      0:00.01 /System/Library/CoreServices/APFSUserAgent
20716   ??  S      0:00.38 /System/Library/CoreServices/iconservicesagent
20718   ??  S      0:00.12 /System/Library/CoreServices/WiFiAgent.app/Contents/
20720   ??  Ss     0:00.16 /System/Library/PrivateFrameworks/CalendarNotificati
20721   ??  S      0:00.07 /System/Library/PrivateFrameworks/CommerceKit.framew
20723   ??  S      0:00.32 /System/Library/PrivateFrameworks/GeoServices.framew
20724   ??  S      0:00.50 /System/Library/PrivateFrameworks/CoreSuggestions.fr
20725   ??  S      0:00.07 /System/Library/CoreServices/mapspushd
20727   ??  S      0:00.04 /System/Library/CoreServices/backgroundtaskmanagemen
20729   ??  S      0:00.94 /System/Library/PrivateFrameworks/CommerceKit.framew
20731   ??  S      0:00.63 /System/Library/PrivateFrameworks/AssistantServices.
20732   ??  S      0:00.08 /System/Library/PrivateFrameworks/CloudDocsDaemon.fr
20733   ??  S      0:00.07 /usr/libexec/swcd
20747   ??  S      1:07.00 /Applications/Safari.app/Contents/MacOS/Safari -psn_
20750   ??  S      0:01.85 /Applications/Utilities/Terminal.app/Contents/MacOS/
20751   ??  T      0:00.01 /Applications/Microsoft Word.app/Contents/MacOS/Micr
20756   ??  S      0:01.37 /System/Library/CoreServices/Dock.app/Contents/MacOS
20757   ??  S      0:00.50 /System/Library/CoreServices/SystemUIServer.app/Cont
20758   ??  S      0:10.80 /System/Library/CoreServices/Finder.app/Contents/Mac
20763   ??  S      0:02.41 /System/Library/CoreServices/Spotlight.app/Contents/
20766   ??  Ss     0:00.13 /System/Library/Frameworks/VideoToolbox.framework/Ve
20768   ??  S      0:00.74 /System/Library/PrivateFrameworks/CoreParsec.framewo
20772   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/CoreWLANKit.framew
20773   ??  Ss     0:00.01 /System/Library/PrivateFrameworks/login.framework/Ve
20777   ??  S      0:00.49 /System/Library/CoreServices/CoreServicesUIAgent.app
20782   ??  Ss     0:03.25 /System/Library/StagedFrameworks/Safari/WebKit.frame
20784   ??  S      0:00.17 /usr/libexec/videosubscriptionsd
20785   ??  S      0:00.07 /System/Library/CoreServices/SafariSupport.bundle/Co
20786   ??  S      0:00.62 /System/Library/CoreServices/SafariSupport.bundle/Co
20788   ??  S      0:00.05 /System/Library/CoreServices/pbs
20790   ??  S      0:02.84 /System/Library/PrivateFrameworks/CacheDelete.framew
20792   ??  S      0:00.17 /usr/libexec/adprivacyd
20800   ??  S      0:00.17 /System/Library/CoreServices/diagnostics_agent
20801   ??  S      0:00.35 /System/Library/CoreServices/cloudphotosd.app/Conten
20803   ??  S      0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framew
20805   ??  S      0:00.05 /System/Library/PrivateFrameworks/QuickLookThumbnail
20808   ??  Ss     0:00.19 /System/Library/CoreServices/Dock.app/Contents/XPCSe
20811   ??  S      0:00.02 /System/Library/PrivateFrameworks/CallHistory.framew
20816   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/AssistantServices.
20817   ??  S      0:00.01 SafeEjectGPUAgent
20830   ??  Ss     0:00.04 /System/Library/Frameworks/iTunesLibrary.framework/V
20840   ??  S      0:00.07 /System/Library/PrivateFrameworks/PhotoLibraryPrivat
20841   ??  Ss     0:00.36 /System/Library/Frameworks/MediaLibrary.framework/Ve
20845   ??  S      0:00.15 /System/Library/Frameworks/AudioToolbox.framework/Au
20856   ??  Ss     0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XP
20857   ??  S      0:01.93 /System/Library/PrivateFrameworks/AssistantServices.
20859   ??  S      0:00.13 /System/Library/PrivateFrameworks/AssetCacheServices
20863   ??  Ss     0:00.06 /System/Library/Frameworks/iTunesLibrary.framework/V
20870   ??  S      0:00.06 /usr/libexec/siriknowledged
20871   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/FMClient.framework
20873   ??  S      0:00.23 /System/Library/Frameworks/CoreServices.framework/Fr
20879   ??  S      0:51.33 /Applications/PyCharm CE.app/Contents/MacOS/pycharm 
20880   ??  Ss     0:05.18 /System/Library/PrivateFrameworks/XprotectFramework.
20881   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framewo
20885   ??  S      0:00.02 /System/Library/CoreServices/SocialPushAgent.app/Con
20887   ??  SN     0:00.10 /usr/local/jamf/bin/jamfAgent
20888   ??  S      0:00.03 /usr/libexec/dmd
20889   ??  S      0:00.10 /System/Library/Frameworks/InputMethodKit.framework/
20890   ??  S      0:00.29 /System/Library/CoreServices/Siri.app/Contents/MacOS
20891   ??  S      0:00.08 /System/Library/Image Capture/Support/icdd
20894   ??  S      0:00.14 /Library/Application Support/Pharos/Notify.app/Conte
20895   ??  S      0:00.13 /System/Library/CoreServices/AirPlayUIAgent.app/Cont
20896   ??  S      0:00.07 /usr/libexec/knowledge-agent
20897   ??  S      0:00.06 /System/Library/CoreServices/cloudpaird
20898   ??  S      0:03.78 /Applications/Utilities/Adobe Creative Cloud/ACC/Cre
20899   ??  S      0:00.27 /System/Library/PrivateFrameworks/Noticeboard.framew
20900   ??  S      0:11.71 /Library/Application Support/Malwarebytes/Malwarebyt
20902   ??  S      0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/
20909   ??  S      0:00.92 /Library/Application Support/Adobe/Adobe Desktop Com
20910   ??  S      0:13.02 /Applications/Utilities/Adobe Creative Cloud/ACC/Cre
20912   ??  Ss     0:00.04 /System/Library/Frameworks/VideoToolbox.framework/Ve
20913   ??  S      0:04.59 /Library/Application Support/Adobe/Adobe Desktop Com
20915   ??  S      0:01.75 /Applications/Utilities/Adobe Creative Cloud/ACC/Cre
20917   ??  S      0:00.42 /Applications/Utilities/Adobe Creative Cloud/ACC/Cre
20919   ??  S      0:01.74 /Library/Application Support/Adobe/Adobe Desktop Com
20921   ??  S      0:00.75 /Library/Application Support/Adobe/Creative Cloud Li
20925   ??  S      0:00.02 /System/Library/Frameworks/ColorSync.framework/Suppo
20928   ??  S      0:18.36 /Applications/Utilities/Adobe Creative Cloud/ACC/Cre
20937   ??  S      0:00.50 /Applications/Utilities/Adobe Sync/CoreSync/Core Syn
20938   ??  S      0:00.62 /Applications/Utilities/Adobe Creative Cloud Experie
20939   ??  S      0:02.10 /Applications/Utilities/Adobe Sync/CoreSync/Core Syn
20942   ??  S      0:02.74 /System/Library/PrivateFrameworks/SafariSafeBrowsing
20958   ??  Ss     0:00.18 /System/Library/StagedFrameworks/Safari/SafariShared
20972   ??  Ss     0:00.04 /System/Library/Frameworks/Metal.framework/Versions/
21019   ??  S      0:00.03 /System/Library/CoreServices/Software Update.app/Con
21022   ??  S      0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framew
21023   ??  S      0:00.26 /System/Library/PrivateFrameworks/CommerceKit.framew
